"Title","Study_ID","Author","Year","Species","Common_Name","SD_system","Species_2","Maximum_lifespan","Class","Y_axis","X_axis","Sex","Individuals","Observations","DF","Slope","SE","T_or_Z_value","P_value","r","Zr","SE_Zr","Longevity","Tissue","Method","Type_of_study","Type_of_population","Parental_care","TL_period_reproduction"
"Telomere length reflects reproductive effort indicated by corticosterone levels in a long-lived seabird","29","Bauch (2016)","2016","Sterna hirundo","Common tern","ZW","Sterna_hirundo","33","Aves","residual TELOMERE LENGTH","residual corticosterone","males","106","106","104","-238.27","94.82","-2.51","0.014","-0.23899332333086","-0.24370618074411","0.098532927816429","long-lived","blood","TRF","observational","wild","biparental","adult"
"Telomere length reflects reproductive effort indicated by corticosterone levels in a long-lived seabird","29","Bauch (2016)","2016","Sterna hirundo","Common tern","ZW","Sterna_hirundo","33","Aves","residual TELOMERE LENGTH","residual corticosterone","females","127","127","125","-24.35","96.44","-0.25","0.801","-0.022355091700495","-0.022358816804155","0.089802651013387","long-lived","blood","TRF","observational","wild","biparental","adult"
"Telomere length, individual quality and fitness in female European starlings (Sturnus vulgaris) during breeding","30","Criscuolo (2018)","2018","Sturnus vulgaris","European starling","ZW","Sturnus_vulgaris","22.9","Aves","brood size at 17 days","TELOMERE LENGTH (T/S RATIO) ","females","19","19","17","3.51","1.613","2.1760694358338","0.044","0.46675625595731","0.50591499372519","0.25","long-lived","blood","qPCR","observational","wild","biparental","adult"
"Telomere length, individual quality and fitness in female European starlings (Sturnus vulgaris) during breeding","30","Criscuolo (2018)","2018","Sturnus vulgaris","European starling","ZW","Sturnus_vulgaris","22.9","Aves","chick provisioning rate","TELOMERE LENGTH (T/S RATIO) ","females","19","19","17","4.953","2.371","2.0889919865036","0.052","0.45195649569902","0.48715628104426","0.25","long-lived","blood","qPCR","observational","wild","biparental","adult"
"Telomere length, individual quality and fitness in female European starlings (Sturnus vulgaris) during breeding","30","Criscuolo (2018)","2018","Sturnus vulgaris","European starling","ZW","Sturnus_vulgaris","22.9","Aves","total number of fledging over 2 years","TELOMERE LENGTH (T/S RATIO) ","females","19","19","17","3.553","4.564","0.7784837861525","0.447","0.18553197452011","0.18770585291555","0.25","long-lived","blood","qPCR","observational","wild","biparental","adult"
"Telomere length, individual quality and fitness in female European starlings (Sturnus vulgaris) during breeding","30","Criscuolo (2018)","2018","Sturnus vulgaris","European starling","ZW","Sturnus_vulgaris","22.9","Aves","probability of females initiating a 2nd brood during the first year of breeding","TELOMERE LENGTH (T/S RATIO) ","females","19","19","17","2.007","2.608","0.76955521472393","0.442","0.18347610864832","0.18557753452425","0.25","long-lived","blood","qPCR","observational","wild","biparental","adult"
"Telomere length, individual quality and fitness in female European starlings (Sturnus vulgaris) during breeding","30","Criscuolo (2018)","2018","Sturnus vulgaris","European starling","ZW","Sturnus_vulgaris","22.9","Aves","brood size at fledging of this 2nd breeding attempt","TELOMERE LENGTH (T/S RATIO) ","females","19","19","17","-1.031","1.858","-0.55489773950484","0.587","-0.13337997223426","-0.13417947664193","0.25","long-lived","blood","qPCR","observational","wild","biparental","adult"
"Telomere length, individual quality and fitness in female European starlings (Sturnus vulgaris) during breeding","30","Criscuolo (2018)","2018","Sturnus vulgaris","European starling","ZW","Sturnus_vulgaris","22.9","Aves","2nd year return rate","TELOMERE LENGTH (T/S RATIO) ","females","19","19","17","-1.076","3.034","-0.35464733025709","0.732","-0.085698176564084","-0.085908900106793","0.25","long-lived","blood","qPCR","observational","wild","biparental","adult"
"Telomere length, individual quality and fitness in female European starlings (Sturnus vulgaris) during breeding","30","Criscuolo (2018)","2018","Sturnus vulgaris","European starling","ZW","Sturnus_vulgaris","22.9","Aves","2nd year 1st brood size at fledging","TELOMERE LENGTH (T/S RATIO) ","females","19","19","17","-1.406","2.43","-0.57860082304527","0.57","-0.13896962754766","-0.13987475880311","0.25","long-lived","blood","qPCR","observational","wild","biparental","adult"
"Telomere length, individual quality and fitness in female European starlings (Sturnus vulgaris) during breeding","30","Criscuolo (2018)","2018","Sturnus vulgaris","European starling","ZW","Sturnus_vulgaris","22.9","Aves","initiation of a 2nd brood in 2nd year ","TELOMERE LENGTH (T/S RATIO) ","females","19","19","17","-1.032","1.858","-0.55543595263724","0.587","-0.13350703694982","-0.13430884504263","0.25","long-lived","blood","qPCR","observational","wild","biparental","adult"
"Telomere length, individual quality and fitness in female European starlings (Sturnus vulgaris) during breeding","30","Criscuolo (2018)","2018","Sturnus vulgaris","European starling","ZW","Sturnus_vulgaris","22.9","Aves","2nd brood size at fledging in 2nd year","TELOMERE LENGTH (T/S RATIO) ","females","19","19","17","1.008","0.754","1.3368700265252","0.201","0.30843091961549","0.31881044078297","0.25","long-lived","blood","qPCR","observational","wild","biparental","adult"
"Telomere length, individual quality and fitness in female European starlings (Sturnus vulgaris) during breeding","30","Criscuolo (2018)","2018","Sturnus vulgaris","European starling","ZW","Sturnus_vulgaris","22.9","Aves","2nd year total fledgling number","TELOMERE LENGTH (T/S RATIO) ","females","19","19","17","-0.754","3.129","-0.2409715564078","0.813","-0.05834462745092","-0.058410966560796","0.25","long-lived","blood","qPCR","observational","wild","biparental","adult"
"Telomeres, Age and Reproduction in a Long-Lived Reptile","31","Plot (2012)","2012","Dermochelys coriacea","Leatherback sea turtle","TD","Dermochelys_coriacea","30","Reptilia","estimated clutch frequency ","TELOMERE LENGTH (T/S RATIO) ","females","22","22","20","0.576","0.2","2.82","0.01","0.53338347574613","0.59486211085655","0.22941573387056","long-lived","blood","qPCR","observational","wild","none","adult"
"Artificial size selection experiment reveals telomere length dynamics and fitness consequences in a wild passerine","32","Le Pepke (2022b)","2022","Passer domesticus","House sparrow","ZW","Passer_domesticus","23","Aves","lifetime reproductive success in high population","TELOMERE LENGTH (T/S RATIO) ","both","22","22","20","-1.244","0.653","-1.9050535987749","NA","-0.3919064593259","-0.41405045997543","0.22941573387056","long-lived","blood","qPCR","manipulative","wild","biparental","juvenile"
"Assortative pairing by telomere length in King Penguins (Aptenodytes patagonicus) and relationships with breeding success","33","Schull (2018)","2018","Aptenodytes patagonicus","King penguin","ZW","Aptenodytes_patagonicus","27","Aves","TELOMERE LENGTH (T/S RATIO) ","Chick body mass at day 10","females","73","73","71","61.78","54.3","1.14","0.259","0.13407163451795","0.13488373288167","0.11952286093344","long-lived","blood","qPCR","observational","wild","biparental","adult"
"Assortative pairing by telomere length in King Penguins (Aptenodytes patagonicus) and relationships with breeding success","33","Schull (2018)","2018","Aptenodytes patagonicus","King penguin","ZW","Aptenodytes_patagonicus","27","Aves","TELOMERE LENGTH (T/S RATIO) ","Chick survival to fledging","females","73","73","71","3.57","1.3","2.75","0.006","0.31025947002959","0.32083249097949","0.11952286093344","long-lived","blood","qPCR","observational","wild","biparental","adult"
"Assortative pairing by telomere length in King Penguins (Aptenodytes patagonicus) and relationships with breeding success","33","Schull (2018)","2018","Aptenodytes patagonicus","King penguin","ZW","Aptenodytes_patagonicus","27","Aves","TELOMERE LENGTH (T/S RATIO) ","Chick body mass at day 10","males","73","73","71","-44.64","58.88","-0.76","0.451","-0.089830750093578","-0.090073558448995","0.11952286093344","long-lived","blood","qPCR","observational","wild","biparental","adult"
"Assortative pairing by telomere length in King Penguins (Aptenodytes patagonicus) and relationships with breeding success","33","Schull (2018)","2018","Aptenodytes patagonicus","King penguin","ZW","Aptenodytes_patagonicus","27","Aves","TELOMERE LENGTH (T/S RATIO) ","Chick survival to fledging","males","73","73","71","0.2","0.97","0.21","0.834","0.02491467843645","0.024919835546468","0.11952286093344","long-lived","blood","qPCR","observational","wild","biparental","adult"
"Decline in telomere length by age and effect modification by gender, allostatic load and comorbidities in National Health and Nutrition Examination Survey (1999-2002)","34","Ghimire (2019)","2019","Homo sapiens","Human","XY","Homo_sapiens","122.5","Mammalia","TELOMERE LENGTH (T/S RATIO) ","number of live births","females","4056","4056","4054","0.0819","0.111","0.73783783783784","0.449","0.011587503876023","0.011588022536807","0.015707667448702","long-lived","blood","qPCR","observational","wild","biparental","adult"
"Decline in telomere length by age and effect modification by gender, allostatic load and comorbidities in National Health and Nutrition Examination Survey (1999-2002)","34","Ghimire (2019)","2019","Homo sapiens","Human","XY","Homo_sapiens","122.5","Mammalia","TELOMERE LENGTH (T/S RATIO) ","age at menopause","females","4056","4056","4054","-0.0004","0.0105","-0.038095238095238","0.8717","-0.0005983134176473","-0.00059831348904181","0.015707667448702","long-lived","blood","qPCR","observational","wild","biparental","adult"
"Decline in telomere length by age and effect modification by gender, allostatic load and comorbidities in National Health and Nutrition Examination Survey (1999-2002)","34","Ghimire (2019)","2019","Homo sapiens","Human","XY","Homo_sapiens","122.5","Mammalia","TELOMERE LENGTH (T/S RATIO) ","years passed since menopause","females","4056","4056","4054","0.0003","0.002755","0.10889292196007","0.9108","0.0017102403327079","0.0017102420001507","0.015707667448702","long-lived","blood","qPCR","observational","wild","biparental","adult"
"Is telomere length a molecular marker of individual quality? Insights from a long-lived bird","35","Angelier (2019)","2019","Thalassarche melanophrys","Black-browed albatross","ZW","Thalassarche_melanophrys","43.7","Aves","offspring productivity after 2 years","TELOMERE LENGTH ","both","53","53","51","NA","NA","NA","NA","0.3032","0.31303981587477","0.14142135623731","long-lived","blood","TRF","observational","wild","biparental","adult"
"Is telomere length a molecular marker of individual quality? Insights from a long-lived bird","35","Angelier (2019)","2019","Thalassarche melanophrys","Black-browed albatross","ZW","Thalassarche_melanophrys","43.7","Aves","offspring productivity after 4 years","TELOMERE LENGTH ","both","58","58","56","NA","NA","NA","NA","0.3503","0.36578567554026","0.13483997249265","long-lived","blood","TRF","observational","wild","biparental","adult"
"Is telomere length a molecular marker of individual quality? Insights from a long-lived bird","35","Angelier (2019)","2019","Thalassarche melanophrys","Black-browed albatross","ZW","Thalassarche_melanophrys","43.7","Aves","offspring productivity after 6 years","TELOMERE LENGTH ","both","57","57","55","NA","NA","NA","NA","0.2956","0.30469140533756","0.13608276348795","long-lived","blood","TRF","observational","wild","biparental","adult"
"Is telomere length a molecular marker of individual quality? Insights from a long-lived bird","35","Angelier (2019)","2019","Thalassarche melanophrys","Black-browed albatross","ZW","Thalassarche_melanophrys","43.7","Aves","offspring productivity after 8 years","TELOMERE LENGTH ","both","58","58","56","NA","NA","NA","NA","0.2699","0.27675596256647","0.13483997249265","long-lived","blood","TRF","observational","wild","biparental","adult"
"Nest cover and faecal glucocorticoid metabolites are linked to hatching success and telomere length in breeding Common Eiders (Somateria mollissima)","36","Noreikiene (2017)","2017","Somateria mollissima","Common eider","ZW","Somateria_mollissima","37.8","Aves","TELOMERE LENGTH (T/S RATIO)","years of maternal experience","females","156","156","154","0.008","0.011","0.697","0.49","0.056077479122755","0.056136372260447","0.080845208345444","long-lived","blood","qPCR","observational","wild","uniparental","adult"
"Telomere dynamics in relation to experimentally increased locomotion costs and fitness in great tits","37","Atema (2021)","2021","Parus major","Great tit","ZW","Parus_major","15.4","Aves","TELOMERE LENGTH ","number of recruits in one year old males","males","63","63","61","36.07","180.39","0.19995565164366","0.84","0.02559331160661","0.025598901826963","0.12909944487358","long-lived","blood","TRF","observational","wild","biparental","adult"
"Telomere dynamics in relation to experimentally increased locomotion costs and fitness in great tits","37","Atema (2021)","2021","Parus major","Great tit","ZW","Parus_major","15.4","Aves","TELOMERE LENGTH ","number of recruits in males older than one year","males","33","33","31","-22.64","33.13","-0.68336854814368","0.5","-0.12182246076354","-0.12243052852868","0.18257418583506","long-lived","blood","TRF","observational","wild","biparental","adult"
"Telomere dynamics in relation to experimentally increased locomotion costs and fitness in great tits","37","Atema (2021)","2021","Parus major","Great tit","ZW","Parus_major","15.4","Aves","TELOMERE LENGTH ","number of fledglings: cross-sectional","males","103","103","101","60.9","49.6","1.2278225806452","0.22","0.1212712049981","0.12187100657648","0.1","long-lived","blood","TRF","observational","wild","biparental","adult"
"Telomere dynamics in relation to experimentally increased locomotion costs and fitness in great tits","37","Atema (2021)","2021","Parus major","Great tit","ZW","Parus_major","15.4","Aves","TELOMERE LENGTH ","number of fledglings: longitudnial","males","231","229","229","3.83","7.5","0.51066666666667","0.61","0.033726605081882","0.033739401639864","0.066226617853252","long-lived","blood","TRF","observational","wild","biparental","adult"
"Telomere dynamics in relation to experimentally increased locomotion costs and fitness in great tits","37","Atema (2021)","2021","Parus major","Great tit","ZW","Parus_major","15.4","Aves","TELOMERE LENGTH ","number of recruits: longitudinal","males","231","229","229","59.1","25.9","2.2818532818533","0.024","0.14910352683881","0.1502234537319","0.066226617853252","long-lived","blood","TRF","observational","wild","biparental","adult"
"Telomere length and environmental conditions predict stress levels but not parental investment in a long-lived seabird","38","Young (2016)","2016","Uria lomvia","Thick-billed murre","ZW","Uria_lomvia","29","Aves","TELOMERE LENGTH ","trip rate","both ","101","101","99","-0.329","0.184","-1.7880434782609","NA","-0.1768718791509","-0.17875169182151","0.10101525445522","long-lived","blood","TRF","observational","wild","biparental","adult"
"Telomere length is repeatable, shortens with age and reproductive success, and predicts remaining lifespan in a long-lived seabird","39","Bichet (2020)","2020","Sterna hirundo","Common tern","ZW","Sterna_hirundo","33","Aves","TELOMERE LENGTH ","total number of fledglings","both ","333","545","543","-112.14","31.97","-3.51","0.001","-0.14894825508766","-0.15006465527043","0.055048188256318","long-lived","blood","TRF","observational","wild","biparental","adult"
"Telomere length is repeatable, shortens with age and reproductive success, and predicts remaining lifespan in a long-lived seabird","39","Bichet (2020)","2020","Sterna hirundo","Common tern","ZW","Sterna_hirundo","33","Aves","TELOMERE LENGTH ","number of fledglings of the first clutch","both ","333","545","543","-81.16","32.67","-2.48","0.013","-0.10582932562557","-0.10622709274713","0.055048188256318","long-lived","blood","TRF","observational","wild","biparental","adult"
"Telomere length is repeatable, shortens with age and reproductive success, and predicts remaining lifespan in a long-lived seabird","39","Bichet (2020)","2020","Sterna hirundo","Common tern","ZW","Sterna_hirundo","33","Aves","TELOMERE LENGTH ","clutch size of the first clutch","both ","333","545","543","-31.19","43.61","-0.72","0.475","-0.030883418807086","-0.030893243149494","0.055048188256318","long-lived","blood","TRF","observational","wild","biparental","adult"
"Telomere length is repeatable, shortens with age and reproductive success, and predicts remaining lifespan in a long-lived seabird","39","Bichet (2020)","2020","Sterna hirundo","Common tern","ZW","Sterna_hirundo","33","Aves","TELOMERE LENGTH ","brood size d18 of the first clutch","both ","333","545","543","-65.72","27.54","-2.39","0.017","-0.10202947039077","-0.10238574102002","0.055048188256318","long-lived","blood","TRF","observational","wild","biparental","adult"
"Telomere length is repeatable, shortens with age and reproductive success, and predicts remaining lifespan in a long-lived seabird","39","Bichet (2020)","2020","Sterna hirundo","Common tern","ZW","Sterna_hirundo","33","Aves","TELOMERE LENGTH ","brood size d10 of the first clutch","both ","333","545","543","-62.78","25.33","-2.48","0.14","-0.10582932562557","-0.10622709274713","0.055048188256318","long-lived","blood","TRF","observational","wild","biparental","adult"
"Telomere length is repeatable, shortens with age and reproductive success, and predicts remaining lifespan in a long-lived seabird","39","Bichet (2020)","2020","Sterna hirundo","Common tern","ZW","Sterna_hirundo","33","Aves","TELOMERE LENGTH ","brood size d0 of the first clutch","both ","333","545","543","-26.28","23.38","-1.12","0.262","-0.048008379663213","-0.04804531406274","0.055048188256318","long-lived","blood","TRF","observational","wild","biparental","adult"
"Telomere length reflects phenotypic quality and costs of reproduction in a long-lived seabird","40","Bauch (2013)","2013","Sterna hirundo","Common tern","ZW","Sterna_hirundo","33","Aves","TELOMERE LENGTH ","arrival date (correlated with egg-laying date)","both","181","181","179","14.3","7.1","2.01","0.046","0.148567198909","0.14967497592647","0.074953168899586","long-lived","blood","TRF","observational","wild","biparental","adult"
"Telomere length reflects phenotypic quality and costs of reproduction in a long-lived seabird","40","Bauch (2013)","2013","Sterna hirundo","Common tern","ZW","Sterna_hirundo","33","Aves","TELOMERE LENGTH ","brood size (fledglings)","females","122","122","120","-213.6","119.4","-1.79","0.077","-0.16126512245602","-0.16268532712041","0.091669849702821","long-lived","blood","TRF","observational","wild","biparental","adult"
"Telomere length reflects phenotypic quality and costs of reproduction in a long-lived seabird","40","Bauch (2013)","2013","Sterna hirundo","Common tern","ZW","Sterna_hirundo","33","Aves","TELOMERE LENGTH ","brood size (fledglings)","males","117","117","115","-409.6","120.5","-3.4","0.001","-0.30222520717728","-0.31196668683905","0.093658581158169","long-lived","blood","TRF","observational","wild","biparental","adult"
"Telomere length reflects phenotypic quality and costs of reproduction in a long-lived seabird","40","Bauch (2013)","2013","Sterna hirundo","Common tern","ZW","Sterna_hirundo","33","Aves","TELOMERE LENGTH ","brood size (hatchlings)","females","122","122","120","-76","67.2","-1.13","0.261","-0.10260993200977","-0.10297234399115","0.091669849702821","long-lived","blood","TRF","observational","wild","biparental","adult"
"Telomere length reflects phenotypic quality and costs of reproduction in a long-lived seabird","40","Bauch (2013)","2013","Sterna hirundo","Common tern","ZW","Sterna_hirundo","33","Aves","TELOMERE LENGTH ","brood size (hatchlings)","males","117","117","115","-114.1","87.8","-1.3","0.197","-0.12034457911418","-0.12093065664015","0.093658581158169","long-lived","blood","TRF","observational","wild","biparental","adult"
"Telomere length reflects phenotypic quality and costs of reproduction in a long-lived seabird","40","Bauch (2013)","2013","Sterna hirundo","Common tern","ZW","Sterna_hirundo","33","Aves","TELOMERE LENGTH ","brood size (day 10)","females","122","122","120","-98.5","80.9","-1.22","0.226","-0.11068593153585","-0.11114130190129","0.091669849702821","long-lived","blood","TRF","observational","wild","biparental","adult"
"Telomere length reflects phenotypic quality and costs of reproduction in a long-lived seabird","40","Bauch (2013)","2013","Sterna hirundo","Common tern","ZW","Sterna_hirundo","33","Aves","TELOMERE LENGTH ","brood size (day 10)","males","117","117","115","-280","92.8","-3.02","0.003","-0.2710724366942","-0.27802094942466","0.093658581158169","long-lived","blood","TRF","observational","wild","biparental","adult"
"Telomere length reflects phenotypic quality and costs of reproduction in a long-lived seabird","40","Bauch (2013)","2013","Sterna hirundo","Common tern","ZW","Sterna_hirundo","33","Aves","TELOMERE LENGTH ","brood size (day 18)","females","122","122","120","-120.6","86.1","-1.4","0.165","-0.12677082826625","-0.12745655734637","0.091669849702821","long-lived","blood","TRF","observational","wild","biparental","adult"
"Telomere length reflects phenotypic quality and costs of reproduction in a long-lived seabird","40","Bauch (2013)","2013","Sterna hirundo","Common tern","ZW","Sterna_hirundo","33","Aves","TELOMERE LENGTH ","brood size (day 18)","males","117","117","115","-341.5","97.8","-3.49","0.001","-0.30946806960642","-0.31995703289679","0.093658581158169","long-lived","blood","TRF","observational","wild","biparental","adult"
